target,launched,destroyed
Snake Island,6.0,0.0
,2.0,0.0
Snake Island,1.0,0.0
Kherson oblast,1.0,0.0
,1.0,1.0
,2.0,2.0
,4.0,4.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
"Odesa oblast, Black Sea",2.0,0.0
Kryvyi Rih,3.0,3.0
Lviv oblast,2.0,0.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
Mykolaiv oblast,1.0,0.0
Kursk oblast,1.0,1.0
,4.0,4.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
Mykolaiv oblast,9.0,8.0
Snake Island,4.0,0.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
Odesa oblast,2.0,0.0
Kharkiv oblast,10.0,2.0
Mykolaiv oblast,1.0,0.0
,1.0,1.0
,3.0,3.0
,4.0,4.0
,3.0,3.0
,2.0,2.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
Sumy,1.0,0.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,4.0,4.0
,1.0,1.0
,2.0,2.0
Odesa oblast,1.0,0.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,4.0,4.0
Odesa oblast,1.0,0.0
Mykolaiv oblast,1.0,0.0
,1.0,1.0
,2.0,2.0
,2.0,2.0
Kharkiv oblast,2.0,0.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
Kyiv oblast,4.0,2.0
,1.0,1.0
,1.0,1.0
Mykolaiv oblast,1.0,0.0
Kherson oblast,1.0,0.0
,1.0,1.0
Mykolaiv oblast,2.0,0.0
,1.0,1.0
Poltava oblast,2.0,0.0
,2.0,2.0
Kharkiv oblast,2.0,0.0
Odesa oblast,2.0,0.0
,2.0,0.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,3.0,3.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
Odesa oblast,3.0,0.0
Mykolaiv oblast,1.0,0.0
,1.0,0.0
,4.0,4.0
,2.0,2.0
,1.0,1.0
,3.0,3.0
Mykolaiv oblast,1.0,1.0
Kyiv oblast,89.0,89.0
,5.0,5.0
,1.0,1.0
,3.0,3.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Odesa oblast,8.0,7.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
Donetsk oblast,1.0,0.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,2.0,2.0
,2.0,2.0
Kharkiv oblast,1.0,0.0
Odesa oblast,23.0,17.0
Kharkiv oblast,1.0,0.0
Sumy oblast,1.0,0.0
Sumy oblast,8.0,7.0
,4.0,4.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
Mykolaiv oblast,1.0,0.0
,3.0,3.0
,2.0,2.0
,1.0,0.0
,1.0,1.0
Odesa oblast,1.0,0.0
,1.0,1.0
,2.0,2.0
,4.0,4.0
,1.0,1.0
,3.0,3.0
,1.0,1.0
,4.0,4.0
,4.0,4.0
,1.0,1.0
,1.0,1.0
Mykolaiv oblast,1.0,1.0
,1.0,1.0
Mykolaiv oblast,2.0,0.0
Odesa oblast,1.0,0.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,2.0,2.0
,2.0,2.0
,1.0,1.0
Odesa oblast,1.0,0.0
,4.0,4.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,3.0,3.0
Kherson oblast,1.0,0.0
Odesa oblast,1.0,0.0
,2.0,2.0
Odesa oblast,1.0,0.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,3.0,3.0
,3.0,3.0
,1.0,1.0
,2.0,2.0
,1.0,1.0
,3.0,3.0
,1.0,1.0
,3.0,3.0
,1.0,1.0
,2.0,2.0
Odesa oblast,1.0,0.0
,3.0,3.0
Sumy oblast,2.0,0.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
Odesa oblast,1.0,0.0
,2.0,2.0
Mykolaiv oblast,1.0,0.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Mykolaiv oblast,1.0,0.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,0.0
Kharkiv oblast,2.0,2.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Kherson oblast,1.0,1.0
,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
,1.0,1.0
,2.0,2.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,2.0,2.0
Odesa oblast,2.0,0.0
,4.0,4.0
,4.0,4.0
,5.0,5.0
,2.0,2.0
,1.0,1.0
,3.0,3.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,0.0
Poltava oblast,1.0,1.0
Dnipropetrovsk oblast,4.0,4.0
Dnipropetrovsk oblast,5.0,5.0
Dnipropetrovsk oblast,1.0,1.0
Dnipropetrovsk oblast,3.0,1.0
,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,1.0
,2.0,2.0
,1.0,1.0
,4.0,4.0
,1.0,1.0
,4.0,4.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Odesa oblast,2.0,2.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Odesa oblast,1.0,1.0
Kherson oblast,2.0,2.0
Mykolaiv oblast,2.0,2.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kherson oblast,2.0,2.0
Mykolaiv oblast,2.0,0.0
Mykolaiv oblast,1.0,0.0
Odesa oblast,1.0,0.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kherson oblast,4.0,4.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Odesa oblast,2.0,1.0
Kharkiv oblast,4.0,4.0
Kherson oblast,1.0,1.0
Kharkiv oblast,3.0,3.0
Kherson oblast,1.0,1.0
Kyiv oblast,3.0,2.0
Mykolaiv oblast,1.0,1.0
,10.0,7.0
Kharkiv oblast,3.0,3.0
Mykolaiv oblast,1.0,1.0
Odesa oblast,1.0,0.0
Kharkiv oblast,2.0,2.0
Kharkiv oblast,2.0,2.0
Kherson oblast,1.0,0.0
Kherson oblast and Kirovohrad oblast,4.0,4.0
Odesa oblast,1.0,0.0
Kherson oblast,2.0,1.0
Dnipropetrovsk oblast,4.0,4.0
,3.0,0.0
Poltava oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Kherson oblast,1.0,1.0
Odesa oblast,1.0,0.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Kherson oblast,2.0,2.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Odesa oblast,1.0,0.0
Kherson oblast,2.0,2.0
Mykolaiv oblast,1.0,0.0
Khmelnytskyi oblast,10.0,7.0
Kharkiv oblast and Poltava oblast,3.0,3.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,1.0,0.0
Dnipropetrovsk oblast,1.0,1.0
Kherson oblast,2.0,2.0
Kherson oblast,2.0,2.0
Kharkiv oblast,1.0,0.0
Mykolaiv oblast,1.0,0.0
Odesa oblast,1.0,0.0
Dnipropetrovsk oblast,2.0,2.0
Mykolaiv oblast,1.0,1.0
Kherson oblast,1.0,1.0
,1.0,1.0
,2.0,2.0
Kherson oblast,4.0,4.0
,5.0,5.0
Poltava oblast,1.0,1.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Dnipropetrovsk oblast,2.0,0.0
Odesa oblast,1.0,1.0
Odesa oblast,1.0,0.0
Mykolaiv oblast,1.0,1.0
Kherson oblast,2.0,2.0
Chernihiv oblast,4.0,4.0
Kherson oblast,1.0,1.0
"Dnipropetrovsk oblast, Dnipro raion",2.0,2.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Odesa oblast,1.0,0.0
Mykolaiv oblast,1.0,1.0
Odesa oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kherson oblast,1.0,1.0
"Dnipropetrovsk oblast, Pavlohrad Raion",1.0,1.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,0.0
,1.0,0.0
Kherson oblast,1.0,1.0
Odesa oblast,1.0,0.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
"Dnipropetrovsk oblast, Pavlohrad Raion",1.0,0.0
Dnipropetrovsk oblast,1.0,1.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Kherson oblast,1.0,0.0
Mykolaiv oblast,1.0,0.0
Kyiv oblast,1.0,1.0
Kharkiv oblast,5.0,0.0
Odesa oblast,2.0,1.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,8.0,0.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Odesa oblast,1.0,0.0
Kharkiv oblast,1.0,1.0
Kherson oblast,2.0,2.0
Kherson oblast,1.0,1.0
Odesa oblast,1.0,0.0
Kherson oblast,1.0,1.0
"Dnipropetrovsk oblast, Synelnykove Raion",1.0,1.0
Zaporizhzhia oblast,1.0,1.0
Zaporizhzhia oblast,1.0,1.0
"Dnipropetrovsk oblast, Kamianske Raion",1.0,1.0
Odesa oblast,1.0,1.0
"Dnipropetrovsk oblast, Kryvyi Rih Raion",1.0,1.0
Odesa oblast,2.0,2.0
Kharkiv oblast,1.0,0.0
Odesa oblast,1.0,0.0
Kherson oblast,1.0,1.0
Odesa oblast,1.0,1.0
Kherson oblast,1.0,1.0
"Dnipropetrovsk oblast, Novomoskovsk Raion",1.0,1.0
Odesa oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
Odesa oblast,1.0,1.0
Odesa oblast,1.0,0.0
Kherson oblast,2.0,2.0
Mykolaiv oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Kherson oblast,2.0,2.0
Odesa oblast,3.0,3.0
Kherson oblast,1.0,1.0
Kirovohrad oblast,1.0,1.0
Kherson oblast,1.0,1.0
Odesa oblast,3.0,0.0
Kherson oblast,1.0,1.0
Dnipropetrovsk oblast,1.0,1.0
Dnipro,1.0,1.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
Kherson oblast,1.0,1.0
Kherson oblast,1.0,1.0
Mykolaiv oblast,1.0,1.0
Kharkiv oblast,1.0,1.0
