time_start,target,launched,destroyed
2025-02-05 06:00:00,Odesa oblast,1.0,0.0
2025-02-05 06:00:00,,1.0,1.0
2025-02-04 06:00:00,,1.0,1.0
2025-02-04 06:00:00,,2.0,2.0
2025-02-02 06:00:00,,5.0,5.0
2025-02-02 06:00:00,,3.0,3.0
2025-02-02 06:00:00,,5.0,5.0
2025-02-02 06:00:00,,1.0,1.0
2025-01-31 19:00:00,Odesa,1.0,1.0
2025-01-31 19:00:00,Odesa,3.0,0.0
2025-01-29 06:00:00,,1.0,1.0
2025-01-27 20:00:00,Odesa oblast,1.0,1.0
2025-01-28 06:00:00,Mykolaiv oblast,1.0,0.0
2025-01-24 18:30:00,Odesa oblast,2.0,2.0
2025-01-23 04:00:00,Zaporizhzhia,4.0,0.0
2025-01-19 19:00:00,Sumy oblast,1.0,0.0
2025-01-20 06:00:00,,1.0,1.0
2025-01-16 19:00:00,Kyiv oblast,4.0,2.0
2025-01-15 06:00:00,,2.0,2.0
2025-01-15 06:00:00,,3.0,3.0
2025-01-15 06:00:00,,1.0,1.0
2025-01-15 06:00:00,,7.0,7.0
2025-01-14 06:00:00,Odesa oblast,2.0,0.0
2025-01-14 06:00:00,,2.0,2.0
2025-01-13 06:00:00,,1.0,1.0
2025-01-12 06:00:00,,3.0,3.0
2025-01-12 06:00:00,,1.0,1.0
2025-01-12 06:00:00,,1.0,1.0
2025-01-12 06:00:00,,8.0,8.0
2025-01-12 06:00:00,Kherson oblast,1.0,1.0
2025-01-10 06:00:00,,1.0,1.0
2025-01-09 14:10:00,Kryvyi Rih,3.0,3.0
2025-01-09 06:00:00,,1.0,1.0
2025-01-09 06:00:00,,2.0,2.0
2025-01-09 06:00:00,,1.0,1.0
2025-01-09 06:00:00,,4.0,4.0
2025-01-09 06:00:00,,1.0,1.0
2025-01-09 06:00:00,,7.0,7.0
2025-01-09 06:00:00,,1.0,1.0
2025-01-05 18:00:00,Mykolaiv oblast,2.0,2.0
2025-01-05 06:00:00,,4.0,4.0
2025-01-05 06:00:00,,1.0,1.0
2025-01-05 06:00:00,,1.0,1.0
2025-01-05 06:00:00,,10.0,10.0
2025-01-04 06:00:00,,1.0,1.0
2025-01-04 06:00:00,,2.0,2.0
2025-01-04 06:00:00,,1.0,1.0
2025-01-04 06:00:00,,7.0,7.0
2025-01-03 12:00:00,Dnipropetrovsk oblast,3.0,3.0
2025-01-03 12:00:00,Chernihiv oblast,3.0,0.0
2025-01-03 12:00:00,Kursk oblast,5.0,0.0
2025-01-02 06:00:00,,1.0,1.0
2025-01-02 06:00:00,,3.0,3.0
2025-01-01 06:00:00,,3.0,3.0
2025-01-01 06:00:00,,2.0,2.0
2024-12-30 07:20:00,Kyiv oblast and Sumy oblast,6.0,5.0
2024-12-30 07:20:00,Kyiv oblast and Sumy oblast,1.0,1.0
2024-12-30 07:20:00,Kyiv oblast and Sumy oblast,8.0,0.0
2024-12-31 02:50:00,Kyiv oblast and Sumy oblast,6.0,0.0
2024-12-31 06:00:00,,3.0,3.0
2024-12-31 06:00:00,Odesa oblast,2.0,0.0
2024-12-31 06:00:00,,2.0,2.0
2024-12-31 06:00:00,,1.0,1.0
2024-12-31 06:00:00,,1.0,1.0
2024-12-28 19:00:00,Mykolaiv oblast,10.0,9.0
2024-12-28 19:00:00,Sumy oblast and Kursk oblast,6.0,0.0
2024-12-27 23:00:00,Mykolaiv oblast,16.0,15.0
2024-12-24 06:00:00,,1.0,1.0
2024-12-24 06:00:00,,1.0,1.0
2024-12-24 06:00:00,,3.0,3.0
2024-12-23 06:00:00,,3.0,3.0
2024-12-23 06:00:00,,1.0,1.0
2024-12-20 19:00:00,Poltava oblast,1.0,0.0
2024-12-21 06:00:00,Kherson oblast,1.0,0.0
2024-12-20 07:00:00,Kyiv,5.0,5.0
2024-12-20 06:00:00,,2.0,2.0
2024-12-20 06:00:00,Odesa oblast,2.0,0.0
2024-12-20 06:00:00,,1.0,1.0
2024-12-20 06:00:00,,3.0,3.0
2024-12-20 06:00:00,,1.0,1.0
2024-12-19 06:00:00,,2.0,2.0
2024-12-19 06:00:00,,1.0,1.0
2024-12-19 06:00:00,,2.0,2.0
2024-12-18 06:00:00,Kherson oblast,1.0,0.0
2024-12-14 06:00:00,,5.0,5.0
2024-12-14 06:00:00,,1.0,1.0
2024-12-14 06:00:00,,2.0,2.0
2024-12-14 06:00:00,,1.0,1.0
2024-12-13 06:00:00,,2.0,2.0
2024-12-11 11:00:00,Dnipropetrovsk oblast,2.0,2.0
2024-12-10 06:00:00,,1.0,1.0
2024-12-10 06:00:00,,1.0,1.0
2024-12-08 19:30:00,Odesa oblast,2.0,2.0
2024-12-06 21:30:00,Sumy oblast,1.0,0.0
2024-12-06 06:00:00,Kherson oblast,3.0,0.0
2024-12-04 20:00:00,Dnipropetrovsk oblast,2.0,0.0
2024-12-05 06:00:00,Mykolaiv oblast,2.0,2.0
2024-12-02 17:00:00,Kryvyi Rih,3.0,3.0
2024-11-29 06:00:00,,3.0,3.0
2024-11-29 06:00:00,Mykolaiv oblast,1.0,0.0
2024-11-29 06:00:00,,4.0,4.0
2024-11-29 06:00:00,Kherson oblast,1.0,0.0
2024-11-28 05:00:00,Kharkiv oblast,3.0,0.0
2024-11-26 06:00:00,,1.0,1.0
2024-11-26 06:00:00,Odesa oblast,1.0,0.0
2024-11-25 06:00:00,,1.0,1.0
2024-11-25 06:00:00,,1.0,1.0
2024-11-25 06:00:00,,2.0,2.0
2024-11-25 06:00:00,,1.0,1.0
2024-11-25 06:00:00,Odesa oblast,2.0,1.0
2024-11-21 05:00:00,Dnipro,1.0,0.0
2024-11-21 05:00:00,Dnipro,7.0,6.0
2024-11-21 05:00:00,Dnipro,1.0,0.0
2024-11-19 19:30:00,Dnipropetrovsk oblast and Chernihiv oblast and Sumy oblast,5.0,2.0
2024-11-19 19:30:00,Kharkiv oblast,1.0,0.0
